genre,mfcc,filename
blues,"[-125.25643     120.20559     -18.326477     44.870823     -5.429578
   20.852407    -13.753224     16.807833    -12.435857     11.826387
   -8.855663      9.295366     -4.1513925     7.1001225    -5.662499
    0.5287198    -2.8587706     0.30976304   -2.699566      2.3687968 ]",blues.00000.wav_segment0
blues,"[-104.70713     122.2818      -16.140684     40.836025    -10.423074
   18.005255    -12.751393     15.966058    -12.650309     12.169071
   -7.6829195    10.464032     -4.378682      5.203136     -6.205292
    0.6961477    -0.9436277    -0.14376621   -2.2986982     1.4984964 ]",blues.00000.wav_segment1
blues,"[-113.05592     125.08428     -25.844616     44.177784     -6.0840325
   19.723314    -17.29722      15.89953     -14.309294     11.360112
  -10.854089      8.8773365    -4.6009865     6.9137106    -5.518061
    2.7789235    -2.8500574     0.14340024   -3.230973      0.98561215]",blues.00000.wav_segment2
blues,"[-2.21962158e+02  1.31098083e+02  5.16325712e-01  3.90706749e+01
  7.86683416e+00  1.78284340e+01 -6.02993679e+00  2.26216965e+01
 -5.23101425e+00  1.05091820e+01 -3.12339687e+00  6.92215538e+00
 -1.89473724e+00  4.95340300e+00 -4.53404665e+00 -4.59226191e-01
  4.98194873e-01  4.06461582e-02 -1.08386505e+00 -1.12691075e-01]",blues.00001.wav_segment0
blues,"[-2.22065689e+02  1.24184708e+02  1.12355490e+01  3.86416855e+01
 -6.34545922e-01  2.77314777e+01 -1.29168854e+01  2.51242409e+01
 -1.47499275e+01  1.50301352e+01 -8.05516815e+00  9.24222755e+00
 -3.01663613e+00  3.84794402e+00 -7.81263208e+00  4.54686069e+00
  1.06514864e-01 -3.78787965e-01 -2.66024470e+00  1.09798944e+00]",blues.00001.wav_segment1
blues,"[-182.56636     122.23173       9.720888     34.887306     -3.235282
   23.398188    -10.830989     26.149284    -13.904558     13.364052
   -8.443462      2.6174397    -4.227805      5.935333     -7.479047
    0.32245737   -4.087535      2.416083      1.9035809     1.4013486 ]",blues.00001.wav_segment2
blues,"[-99.192795  141.50714   -25.696747   34.449314  -17.03819    25.808807
 -13.154822   10.701171  -11.356643    7.2960954 -12.971548    4.5317373
  -8.682208   -2.329909   -8.135827    2.912316   -6.6510544  -2.0424914
  -2.0466108  -2.7102468]",blues.00002.wav_segment0
blues,"[-100.25638    145.3825     -30.947876    36.366096   -16.55783
   26.772926   -13.655284    10.91385    -12.976605     9.158952
  -15.287569     3.9601717   -7.563027    -2.083712    -9.78974
    3.095907    -9.1252365   -2.3020062   -3.5250654   -1.6115856]",blues.00002.wav_segment1
blues,"[-74.87908    137.28813    -33.392315    26.845072   -10.955763
  27.187496   -16.654503    15.679037   -13.261757    14.933005
 -13.262913    10.959691   -12.383335     3.0192802  -11.459057
   2.9966488   -8.874141     0.30274054  -6.0264173   -1.2784462 ]",blues.00002.wav_segment2
blues,"[-214.5671      156.5712        2.786299     26.74476       4.9765544
    9.361402     -1.3256437    10.197515      2.4535098     8.810805
    2.4873323     4.6937995    -2.363561     -0.8771181    -3.4251275
   -0.28646836    0.22118945    2.4319634     1.2847526    -2.1963785 ]",blues.00003.wav_segment0
